code;name;country_id;icao
RBK;French Valley;US;F70
YPJ;Aupaluk Airport;CA;CYLA
CPG;Carmen De Patagones;AR;
CUS;Municipal;US;
YKK;Kitkatla;CA;CAP7
RFP;Raiatea Airport;PF;NTTR
RGO;Orang;KP;ZKHM
DAG;Barstow-Daggett;US;KDAG
DAJ;Dauan Island;AU;
RGS;Burgos;ES;LEBG
RHI;Oneida County Airport;US;KRHI
RHO;Rhodes Airport;GR;LGRP
RJI;Rajouri;IN;
DAL;Dallas Love Field;US;KDAL
DAM;Damascus International Airport;SY;OSDI
DAN;Municipal;US;KDAN
SBC;Selbang;PG;AYSO
DAP;Darchula;NP;VNDL
DAS;Great Bear Lake;CA;CFF4
RNB;Kallinge Airport;SE;ESDF
RJK;Rijeka Airport;HR;LDRI
DAT;Datong Airport;CN;ZBDT
DAV;Enrique Malek Airport;PA;MPDA
DAX;Dazhou Heshi Airport;CN;ZUDX
DAY;James M. Cox Dayton International Airport;US;KDAY
DEB;Debrecen Airport;HU;LHDC
DAZ;Darwaz;AF;OADZ
DEF;Dezful Airport;IR;OIAD
GRL;Garasa;PG;AYGG
RJL;Agoncillo Airport;ES;LERJ
RJM;Marinda Airport;ID;WASN
YFI;Firebag;CA;CYFI
YKQ;Waskaganish Airport;CA;CYKQ
DBA;Dalbandin;PK;OPDB
DBD;Dhanbad;IN;VEDB
DBN;Municipal;US;KDBN
DBO;Dubbo City Regional Airport;AU;YSDU
DBP;Debepare;PG;AYDB
DBQ;Dubuque Municipal Airport;US;KDBQ
DBS;Dubois;US;U41
DBU;Dambulu Oya Tank;LK;
DBV;Dubrovnik Airport;HR;LDDU
YNA;Natashquan;CA;CYNA
YSO;Postville Airport;CA;CCD4
YQC;Quaqtaq;CA;CYHA
YPH;Inukjuak;CA;CYPH
MIX;Miriti;CO;
RJN;Rafsanjan;IR;OIKR
RKD;Knox County Regional Airport;US;KRKD
RKE;Roskilde Airport;DK;EKRK
RKS;Rock Springs-Sweetwater County Airport;US;KRKS
RKT;Ras Al Khaimah International Airport;AE;OMRK
RLG;Laage Airport;DE;ETNL
RNP;Rongelap Island;MH;
